kind,id,code,name,active,db_mrp,new_mrp,last_modified_by,last_modified_at
Package,2361,HR0203 EXTENDED ,"HR0203 EXTENDED ",1,2000,3000,,
Package,2457,HR202A EX,"HR202A EX",1,1000,2000,,
Package,2492,HR204AEX,"HR204A EXTENDED",1,1500,3500,,
Package,213,UP0102,"UP102 HR202 PROFLE",1,1600,1800,,
Package,214,UP103,"UP103 HR203 PROFLE",1,2000,2500,,
Package,1351,201PLUS,"UP201A PLUS",1,1000,1500,,
Package,1352,202PLUS,"UP202A PLUS",1,1500,2000,,
Package,2359,203PLUS,"UP203A PLUS",1,2500,3000,,
Package,1353,204PLUS,"UP204A PLUS",1,2000,3500,,
Profile,82,CBES1,"CBC WITH ESR",1,70,350,,
Profile,4,CP103,"Dual Marker with graph",0,1600,2250,,
Profile,81,KFTJK,"KFT BASIC",1,70,500,,
Profile,67,KFTMN,"KFT MINI",1,70,350,,
Profile,64,KFTM1,"KFT MINI 1",0,50,400,,
Profile,65,KFTMN2,"KFT MINI 2",0,70,450,,
Profile,116,KFBN01,"KFT WITH BUN",1,100,600,,
Profile,121,KFTEG01,"KFT WITH EGFR ",1,150,700,,
Profile,128,KFTELEC01,"KFT WITH ELECTROLYTES",1,120,600,,
Profile,16,CP116,"Kidney Function Test with Electrolytes",1,200,600,,
Profile,63,LFTMN,"LFT MINI",1,80,500,,
Profile,62,LPSC,"LIPID SCREEN",1,40,500,,
Profile,1,CP114,"Thyroid Profile I",1,500,600,,
Profile,35,GP14,"TORCH 5 IgG",1,3000,1200,,
Profile,34,GP13,"TORCH 5 IgM",1,3000,1200,,
Profile,14,CP113,"Triple Marker with graph",0,1500,1800,,
Profile,103,TYPHIDOT PROFILE,"TYPHIDOT PROFILE",1,250,600,,
Profile,20,CP120,"Viral Marker",1,750,850,,
Test,165,BI215," T4 (Thyroxine )",1,200,300,,
Test,213,CP3120," TYPHIDOT IGM",1,500,300,,
Test,2233,BI00032,"Active B12",1,700,1800,,
Test,1944,BI295,"Bile Acids Total",1,3500,1500,,
Test,92,BI058,"CA 125 (Cancer Antigen)",1,1300,850,,
Test,2208,IMCA,"CA 72.4",1,1450,1500,,
Test,723,BI254,"Cholesterol VLDL ",1,0,300,,
Test,15,HE010,"Coagulation Screen (PT & aPTT)",1,175,750,,
Test,109,MS023,"Complement level C4",1,550,600,,
Test,263,HE012,"Complete Blood Count with Peripheral Smear Review",0,200,400,,
Test,34,CP004,"Complete Urine Examination",1,150,100,,
Test,72,HE013,"Coombs Test - Direct",1,320,550,,
Test,267,HE014,"Coombs Test - Indirect",1,320,550,,
Test,2626,HE0140,"Coombs Test - Indirect (TITRE)",1,250,650,,
Test,2298,C19RT,"COVID 19 RT PCR",1,300,600,,
Test,113,MS024,"C-Reactive Protein (CRP)",1,350,400,,
Test,1968,MS-01,"Dengue IgG & IgM(Rapid)",1,300,1200,,
Test,1989,BI244A,"Double Marker Test",1,1600,2500,,
Test,125,BI106,"FSH Follicle Stimulating Hormone",1,400,450,,
Test,722,BI253,"Globulin",1,0,250,,
Test,328,BI117,"GLUCOSE - SERUM / PLASMA (0.5 HR)",1,25,100,,
Test,329,BI118,"GLUCOSE - SERUM / PLASMA (1.5 HR)1.",1,25,100,,
Test,330,BI119,"GLUCOSE - SERUM / PLASMA (1HR)",1,25,100,,
Test,331,BI120,"GLUCOSE - SERUM / PLASMA (2 HR)",1,25,100,,
Test,332,BI121,"GLUCOSE - SERUM / PLASMA (2.5 HR)",1,25,100,,
Test,333,BI122,"GLUCOSE - SERUM / PLASMA (3 HR)",1,25,100,,
Test,240,BI123,"GLUCOSE - SPOT URINE",1,50,100,,
Test,2403,HPRA1,"H PYLORI RAPID ANTIBODY",1,250,800,,
Test,194,CP3051,"HBsAg-  CMIA",1,400,550,,
Test,768,MS056,"HbsAg  Rapid ",1,300,350,,
Test,2220,HPIGA01,"Helicobacter Pylori - IgA (H.Pylori - IgA )",1,1200,1600,,
Test,188,MS046,"Helicobacter Pylori - IgG (H.Pylori - IgG )",1,1800,1600,,
Test,180,MS047,"Helicobacter Pylori - IgM (H.Pylori - IgM )",1,2500,1600,,
Test,197,MS051,"Hepatitis B Core Anti body - Total (Anti HBC-Total)",1,600,750,,
Test,199,MS065,"HIV 1 & 2 Antibody - Clia",1,500,550,,
Test,201,MS066,"HIV I&II Card Test",1,500,350,,
Test,202,MS067,"hs-CRP (High Sensitivity C-Reactive Protein)",1,500,650,,
Test,2625,TTFIA,"hs-Troponin T, Finecare",1,500,1600,,
Test,1890,MS111,"Rheumatoid Arthritis Factor (Nephelometry)",1,400,550,,
Test,211,MS087,"Rubella Virus - IgG Anti body",1,500,600,,
Test,212,MS088,"Rubella virus - IgM Antibody",1,500,600,,
Test,2224,SER10192,"Scrub Typhus IgG",1,500,1000,,
Test,1809,cp113,"Triple Marker with Graph",1,2500,1800,,
Test,2642,MST098,"VDRL /Rapid Plasma Reagin (RPR )Test  TITRE",1,150,300,,
Test,175,BI235,"Vitamin B12  -Serum",1,500,800,,
Test,74,BI005,"VITAMIN D",1,1500,1200,,
